NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
1,King County Department of Metro Transit,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Metro
3,Pierce County Transportation Benefit Area Authority,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce Transit
5,City of Everett,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Everett Transit
8,Tri-County Metropolitan Transportation District of Oregon,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,Tri-County Metropolitan Transportation District of Oregon
20,Kitsap Transit,BREMERTON,WA,"Bremerton, WA",Seattle,PSRC,Puget Sound Regional Council,Kitsap Transit
23,City of Seattle,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,City of Seattle
28,County of Pierce,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce County Ferries
29,Snohomish County Public Transportation Benefit Area Corporation,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Community Transit
33,Senior Services of Snohomish County,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Senior Services of Snohomish County
35,Washington State Ferries,OLYMPIA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Washington State Ferries
40,Central Puget Sound Regional Transit Authority,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Sound Transit
46,City of Wilsonville,WILSONVILLE,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Wilsonville
52,Metro,Portland,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,Metro
54,King County Ferry District,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Ferry District
58,City of Portland,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Portland
376,"Ride Connection, Inc.",PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,"Ride Connection, Inc."
10003,Massachusetts Bay Transportation Authority,BOSTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Massachusetts Bay Transportation Authority
10004,Brockton Area Transit Authority,BROCKTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Brockton Area Transit Authority
10005,Lowell Regional Transit Authority,LOWELL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Lowell Regional Transit Authority
10013,Merrimack Valley Regional Transit Authority,HAVERHILL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Merrimack Valley Regional Transit Authority
10053,Cape Ann Transportation Authority,GLOUCESTER,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Cape Ann Transportation Authority
10117,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Plymouth & Brockton Street Railway Company
10118,MetroWest Regional Transit Authority,FRAMINGHAM,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,MetroWest Regional Transit Authority
10129,Massachusetts Department of Transportation,Boston,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Massachusetts Department of Transportation
20006,City of Long Beach,LONG BEACH,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,City of Long Beach
20007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus"
